HRJobContract-id,HRJobContract-contact_id,HRJobDetails-position,HRJobDetails-title,HRJobDetails-funding_notes,HRJobDetails-contract_type,HRJobDetails-period_start_date,HRJobDetails-period_end_date,HRJobDetails-end_reason,HRJobDetails-notice_amount,HRJobDetails-notice_unit,HRJobDetails-notice_amount_employee,HRJobDetails-notice_unit_employee,HRJobDetails-location,HRJobHealth-provider,HRJobHealth-plan_type,HRJobHealth-description,HRJobHealth-dependents,HRJobHealth-provider_life_insurance,HRJobHealth-plan_type_life_insurance,HRJobHealth-description_life_insurance,HRJobHealth-dependents_life_insurance,HRJobHour-location_standard_hours,HRJobHour-hours_type,HRJobHour-hours_amount,HRJobHour-hours_unit,HRJobHour-hours_fte,HRJobHour-fte_num,HRJobHour-fte_denom,HRJobPay-pay_scale,HRJobPay-is_paid,HRJobPay-pay_amount,HRJobPay-pay_unit,HRJobPay-pay_currency,HRJobPay-pay_annualized_est,HRJobPay-pay_is_auto_est,HRJobPay-annual_benefits,HRJobPay-pay_cycle,HRJobPay-pay_per_cycle_gross,HRJobPay-pay_per_cycle_net,HRJobPension-is_enrolled,HRJobPension-ee_contrib_pct,HRJobPension-er_contrib_pct,HRJobPension-pension_type,HRJobLeave-leave_amount
90,326,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,1998-11-23,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Part_Time,24,Week,0.63,12,19,E4,Paid,37642,Year,GBP (£),37642,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,3136.83,3186.83,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
91,327,Manager - Direct Marketing,Manager - Direct Marketing,Funded from corpus,Employee_Permanent,2014-10-29,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E3,Paid,64500,Year,GBP (£),64500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,5375,5425,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
92,328,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,2011-04-02,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,58100,Year,GBP (£),58100,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4841.67,4891.67,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
93,329,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,2007-06-18,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,58800,Year,GBP (£),58800,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4900,4950,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
94,330,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Fixed Term,2012-02-26,2018-02-26,Planned,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,38,Week,1,1,1,E4,Paid,50600,Year,GBP (£),50600,0,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4216.67,4266.67,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
95,331,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,2009-12-22,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,56700,Year,GBP (£),56700,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4725,4775,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
96,332,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,2006-11-28,,,3,Month,3,Month,Hammersmith,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Hammersmith,Full_Time,,Week,0,1,1,E4,Paid,53900,Year,GBP (£),53900,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4491.67,4541.67,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
97,333,Teacher - Computer Basics,Teacher - Computer Basics,Donor funded position,Employee_Permanent,2005-01-31,,,3,Month,3,Month,Clapham,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Clapham,Full_Time,,Week,0,1,1,E4,Paid,58600,Year,GBP (£),58600,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4883.33,4933.33,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
98,334,Book Keeper,Book Keeper,Donor funded position,Employee_Permanent,2004-11-18,,,3,Month,3,Month,Victoria,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Victoria,Full_Time,,Week,0,1,1,E5,Paid,32200,Year,GBP (£),32200,1,,Monthly,2683.33,2683.33,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
99,335,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,1997-03-19,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,52300,Year,GBP (£),52300,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4358.33,4408.33,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
100,336,Teacher - Literacy,Teacher - Literacy,Donor funded position,Employee_Permanent,2009-01-03,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,,Week,0,1,1,E4,Paid,56200,Year,GBP (£),56200,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4683.33,4733.33,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
101,337,Subject Head - Numeracy,Subject Head - Numeracy,Donor funded position,Employee_Permanent,2014-05-12,,,3,Month,3,Month,Islington,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Islington,Full_Time,,Week,0,1,1,E4,Paid,58500,Year,GBP (£),58500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4875,4925,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
102,338,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,1997-10-30,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,53200,Year,GBP (£),53200,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4433.33,4483.33,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
103,339,Community Mobilizer,Community Mobilizer,Donor funded position,Employee_Permanent,2002-01-12,,,3,Month,3,Month,Clapham,236,Family,"GP helpline, NHS cashback & up to 75% no claims discount",Yes,237,Family,Maximum term 40 years or 75 years of age,Yes,Clapham,Full_Time,,Week,0,1,1,E5,Paid,34400,Year,GBP (£),34400,1,,Monthly,2866.67,2866.67,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
104,340,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,1999-01-15,,,3,Month,3,Month,Clapham,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Clapham,Full_Time,,Week,0,1,1,E4,Paid,55500,Year,GBP (£),55500,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4625,4675,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
105,341,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,2011-12-30,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,55100,Year,GBP (£),55100,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4591.67,4641.67,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
106,342,Teacher - Numeracy,Teacher - Numeracy,Donor funded position,Employee_Permanent,2011-08-12,,,3,Month,3,Month,Stratford,236,Individual,"GP helpline, NHS cashback & up to 75% no claims discount",No,237,Individual,Maximum term 40 years or 75 years of age,No,Stratford,Full_Time,,Week,0,1,1,E4,Paid,51000,Year,GBP (£),51000,1,"[{""name"":""1"",""type"":""1"",""amount_pct"":"""",""amount_abs"":""600.00""}]",Monthly,4250,4300,1,5,5,Friends Life,"Sick:0,Vacation:28,Maternity:0,Paternity:0,TOIL:0,Other:0,Compassionate_Leave:0,Parental_Leave:0"
